system   I             system.c:245  al_install_system                [   0.00158] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00258] Also searching C:\Users\Rica.PENGIN\Documents\Visual Studio 2015\Projects\Snake\Snake\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00338] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00343] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.54962] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.64163] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.64354] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.64363] al_display=00671228
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.64368] al_display->vt=00668930
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.68924] found 288 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.68934] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.68940] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.68944] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.68949] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.68953] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.68959] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.68963] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.68969] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.68973] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.68978] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.68983] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.68988] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.68992] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.68998] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.69002] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69008] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.69012] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69018] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.69022] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69027] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69032] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.69037] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.69041] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69056] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.69061] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69067] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.69071] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.69077] Score is : 717
